Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
2255636196,"Feb 20, 2019, 6:17:26 AM",Morning Run,Run,"",3916,13.58,223,false,"",activities/2401623480.gpx.gz,80.0,,3916.0,3880.0,13588.900390625,10.0,,86.2414321899414,,26.600000381469727,56.599998474121094,16.100000381469727,-0.017661472782492638,,,,,192.0,175.44845581054688,,,0.0,,,223.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2255636236,"Feb 25, 2019, 6:17:00 AM",Morning Run,Run,"",4216,14.52,213,false,"",activities/2401623496.gpx.gz,80.0,,4216.0,4152.0,14523.0,10.100000381469727,,101.88904571533203,,43.29999923706055,57.20000076293945,7.599999904632568,0.011017007753252983,,,,,193.0,171.68882751464844,,,0.0,,,213.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2255642799,"Feb 17, 2019, 9:42:48 AM",Morning Run,Run,"",4899,15.69,237,false,"",activities/2401630640.gpx.gz,80.0,,4899.0,4872.0,15696.2998046875,6.900000095367432,,80.2859115600586,,26.5,55.5,10.300000190734863,-0.11340252310037613,,,,,179.0,169.06671142578125,,,0.0,,,237.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2255889183,"Jan 20, 2019, 11:46:41 AM",Lunch Run,Run,"",3276,10.50,120,false,"",activities/2401891209.gpx.gz,80.0,,3276.0,3261.0,10508.5,5.900000095367432,,73.31868743896484,,43.29999923706055,57.20000076293945,8.199999809265137,0.0009516106219962239,,,,,179.0,162.5323486328125,,,0.0,,,120.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2255889193,"Feb 8, 2019, 3:35:09 PM",Afternoon Run,Run,"",2934,9.48,153,false,"",activities/2401891268.gpx.gz,80.0,,2934.0,2930.0,9481.7001953125,6.400000095367432,,93.74761962890625,,70.19999694824219,117.30000305175781,10.800000190734863,0.06960777193307877,,,,,189.0,171.4972686767578,,,0.0,,,153.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2255889206,"Jan 21, 2019, 6:16:13 AM",Morning Run,Run,"",3764,11.78,98,false,"",activities/2401891225.gpx.gz,80.0,,3764.0,3749.0,11783.7998046875,8.399999618530273,,99.22142791748047,,43.29999923706055,65.0999984741211,7.300000190734863,0.0033944908063858747,,,,,173.0,153.81381225585938,,,0.0,,,98.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2255889215,"Feb 6, 2019, 6:31:12 AM",Morning Run,Run,"",3570,10.99,123,false,"",activities/2401891259.gpx.gz,80.0,,3570.0,3553.0,10990.0,7.699999809265137,,107.78666687011719,,43.20000076293945,65.0999984741211,8.199999809265137,-0.0054595088586211205,,,,,182.0,160.41514587402344,,,0.0,,,123.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2255889222,"Jan 24, 2019, 6:16:05 AM",Morning Run,Run,"",3873,11.11,63,false,"",activities/2401891243.gpx.gz,80.0,,3873.0,3827.0,11110.099609375,6.900000095367432,,85.17857360839844,,42.599998474121094,57.20000076293945,7.900000095367432,-0.0063005732372403145,,,,,168.0,145.62554931640625,,,0.0,,,63.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2255907233,"Mar 16, 2019, 12:00:00 PM",Afternoon Run,Run,"",5632,18.58,,false,"",,80.0,,5632.0,5632.0,18580.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
2256609157,"Jan 14, 2019, 6:30:06 AM",Morning Run,Run,"",3007,9.34,155,false,"",activities/2402650352.gpx.gz,80.0,,3007.0,2955.0,9342.2998046875,5.300000190734863,,57.109046936035156,,42.599998474121094,56.79999923706055,6.400000095367432,-0.001070400234311819,,,,,187.0,172.42369079589844,,,0.0,,,155.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,4275394.0,,,,,,,,,,
